compound_a,compound_b,severity,evidence_grade,mechanism_tags,effect_summary,action,source_ids
caffeine,magnesium,Mild,B,absorption_competition,"Caffeine increases urinary magnesium excretion, reducing magnesium status with chronic high intake.",Take magnesium 2+ hours away from caffeine,SRC1
caffeine,creatine,None,B,ergogenic_synergy,Acute caffeine may blunt creatine-loading phosphocreatine gains; no effect with chronic co-supplementation.,No action needed for maintenance doses,SRC2
magnesium,creatine,None,D,none,No significant interaction known.,,SRC1
caffeine,l_theanine,None,A,cns_synergy,L-theanine smooths caffeine's stimulant edge; improves attention and reduces jitteriness.,Combine freely — classic nootropic stack,SRC3
caffeine,melatonin,Moderate,B,circadian_suppression,Caffeine suppresses melatonin secretion by ~3 h and delays sleep onset.,Avoid caffeine within 6 h of bedtime; take melatonin away from caffeine,SRC13;SRC17
iron,caffeine,Moderate,B,polyphenol_chelation,"Polyphenols and tannins in coffee bind non-heme iron, reducing absorption by up to 60%.",Separate iron and caffeine intake by at least 2 h,SRC5
iron,vitamin_c,None,A,reduction_chelation,"Vitamin C reduces ferric to ferrous iron and chelates it, increasing non-heme absorption 2–4×.",Take together for maximum iron absorption,SRC4
zinc,iron,Mild,B,transporter_competition,High-dose zinc competes with iron for DMT-1 intestinal transporters at doses ≥25 mg zinc.,Avoid taking high-dose zinc and iron simultaneously,SRC6
zinc,magnesium,Mild,B,transporter_competition,High-dose zinc may compete with magnesium for absorption; effect modest at typical doses.,Space apart if using high doses of both,SRC16
magnesium,vitamin_d,None,A,enzymatic_cofactor,Magnesium is required for vitamin D hydroxylation and activation; deficiency impairs D3 efficacy.,Take together — magnesium enhances vitamin D function,SRC7
omega3,vitamin_d,None,B,fat_soluble_coabsorption,Both are fat-soluble; omega-3-rich meal increases vitamin D absorption.,Take both with a fat-containing meal,SRC15
berberine,l_theanine,None,C,metabolic_synergy,Potential additive blood glucose support; limited direct human data.,Can be combined; monitor blood glucose if diabetic,SRC8
berberine,caffeine,Mild,C,cyp450_inhibition,"Berberine inhibits CYP3A4 and CYP2D6, potentially slowing caffeine metabolism.",May amplify caffeine effects; lower caffeine dose if sensitive,SRC20
nac,caffeine,None,C,antioxidant_synergy,NAC supports glutathione; no adverse interaction with caffeine documented.,No action needed,SRC9
5htp,ashwagandha,None,C,serotonin_modulation,Both may raise serotonin indirectly; theoretical serotonin syndrome risk at high doses.,Use normal doses; avoid combining with other serotonergics,SRC10;SRC11
5htp,melatonin,None,C,sleep_synergy,Both support sleep via different pathways; may stack well at low doses.,Combine at low doses cautiously; avoid high-dose combinations,SRC10
ashwagandha,rhodiola,None,C,adaptogenic_synergy,Dual adaptogen stack may have additive cortisol-modulating effects.,Generally considered safe to combine,SRC14
